# ----------------------------------------
# Všechny údaje o webu
# Stránky
# 20191201-20200715
# ----------------------------------------

Stránka,Zobrazení stránek,Unikátní zobrazení stránek,Prům. doba na stránce,Vstupy,Míra okamžitého opuštění,Procento odchodů,Hodnota stránky
/,1 327,904,00:00:59,815,"51,90 %","53,65 %","0,00 US$"
/besamel,891,842,00:04:38,831,"94,34 %","93,04 %","0,00 US$"
/velikost_porce,832,778,00:05:37,764,"92,80 %","91,83 %","0,00 US$"
/citrony,799,738,00:05:17,737,"91,86 %","92,12 %","0,00 US$"
/tvorba_cen,549,494,00:02:41,487,"84,60 %","85,97 %","0,00 US$"
/kucharske_tituly,493,465,00:04:11,460,"92,39 %","91,89 %","0,00 US$"
/klubove_talire,476,444,00:04:26,443,"93,00 %","92,23 %","0,00 US$"
/kratky_a_dlouhy_tyden,436,422,00:08:07,417,"97,12 %","95,41 %","0,00 US$"
/stroganov,422,409,00:05:37,385,"96,12 %","92,65 %","0,00 US$"
/krabi,403,380,00:05:11,380,"91,84 %","92,31 %","0,00 US$"
/steaky_stupen_propeceni,351,334,00:06:51,327,"95,41 %","94,30 %","0,00 US$"
/banket,349,324,00:05:49,324,"91,36 %","91,40 %","0,00 US$"
/obloha,228,200,00:05:25,182,"83,52 %","82,89 %","0,00 US$"
/krajeni,205,180,00:06:05,179,"86,59 %","86,83 %","0,00 US$"
/hotovky_a_minutky,196,176,00:04:31,169,"85,80 %","85,71 %","0,00 US$"
/podavani_polevek,196,184,00:05:18,182,"92,31 %","91,84 %","0,00 US$"
/detske_listky,188,182,00:01:25,182,"93,41 %","93,62 %","0,00 US$"
/eighty_six,171,163,00:04:24,160,"94,38 %","92,98 %","0,00 US$"
/plody_more,167,157,00:02:29,155,"94,19 %","91,62 %","0,00 US$"
/?usp=bcn,164,105,00:00:58,20,"42,86 %","25,61 %","0,00 US$"
/koser,164,154,00:06:46,153,"94,12 %","92,68 %","0,00 US$"
/zrani,157,150,00:05:42,147,"91,84 %","91,72 %","0,00 US$"
/sucha_jiska,156,150,00:03:15,145,"96,55 %","93,59 %","0,00 US$"
/zalivka_dresink,144,133,00:07:37,128,"91,41 %","88,89 %","0,00 US$"
/nazvy_jidel,142,131,00:03:01,127,"86,61 %","86,62 %","0,00 US$"
/stravovaci_zvyklosti,142,132,00:08:02,132,"90,15 %","90,14 %","0,00 US$"
/peceni,131,122,00:03:06,121,"91,74 %","92,37 %","0,00 US$"
/food_cost,130,120,00:09:07,118,"84,75 %","86,15 %","0,00 US$"
/sotyrovani,125,113,00:02:30,112,"88,39 %","85,60 %","0,00 US$"
/aspik,117,113,00:04:29,112,"94,64 %","94,87 %","0,00 US$"
/popis_jidel_na_jidelnich_listcich,117,108,00:03:16,88,"94,32 %","78,63 %","0,00 US$"
/zkratky_na_listcich,115,92,00:02:46,90,"77,78 %","75,65 %","0,00 US$"
/tenderizovani,111,108,00:06:41,99,"92,93 %","90,99 %","0,00 US$"
/dohotovovani_jidel_u_stolu,110,105,00:05:06,104,"94,23 %","93,64 %","0,00 US$"
/physalis,105,97,00:01:55,97,"92,78 %","92,38 %","0,00 US$"
/sele,105,99,00:01:58,92,"93,62 %","89,52 %","0,00 US$"
/americke_brambory,101,99,00:05:20,97,"94,85 %","93,07 %","0,00 US$"
/chili,98,89,00:03:45,87,"88,51 %","84,69 %","0,00 US$"
/service_charge,97,88,00:03:08,87,"91,95 %","90,72 %","0,00 US$"
/ustrice,96,87,00:06:29,86,"90,70 %","89,58 %","0,00 US$"
/prime_rib,95,89,00:10:05,87,"91,95 %","91,58 %","0,00 US$"
/sendvice,92,84,00:03:32,80,"91,25 %","84,78 %","0,00 US$"
/druhy_polevek,81,75,00:06:54,72,"86,11 %","86,42 %","0,00 US$"
/bujabeza,79,75,00:08:29,74,"94,59 %","93,67 %","0,00 US$"
/tatarsky_biftek,78,70,00:07:36,65,"89,23 %","84,62 %","0,00 US$"
/aioli,77,72,00:06:55,72,"88,89 %","90,91 %","0,00 US$"
/kureci_kridelka,75,73,00:06:26,73,"94,52 %","94,67 %","0,00 US$"
/vnitrni_teplota_steaku,72,69,00:02:18,64,"95,31 %","87,50 %","0,00 US$"
/mexicky_flan,67,65,00:01:58,64,"96,88 %","95,52 %","0,00 US$"
/povinnosti_obsluhy,67,63,00:01:23,59,"96,61 %","89,55 %","0,00 US$"
/bullshit,66,62,00:05:05,61,"85,25 %","80,30 %","0,00 US$"
/martini,65,63,00:00:35,63,"96,83 %","96,92 %","0,00 US$"
/chateaubriand,64,59,00:04:41,57,"94,74 %","92,19 %","0,00 US$"
/michael_klima_zivotopis,63,56,00:01:45,37,"81,08 %","58,73 %","0,00 US$"
/open_bar,63,55,00:04:11,54,"85,19 %","85,71 %","0,00 US$"
/celer_rapikaty,62,61,00:15:36,61,"98,36 %","98,39 %","0,00 US$"
/vdolky,62,55,00:06:14,55,"87,27 %","85,48 %","0,00 US$"
/kontrolni_pokladny,61,58,00:03:09,58,"96,55 %","95,08 %","0,00 US$"
/podavani_jidel_pri_bezpecne_teplote,58,56,00:09:53,55,"96,36 %","96,55 %","0,00 US$"
/svickova_atd,58,57,00:04:33,57,"96,49 %","98,28 %","0,00 US$"
/jidelni_listek,56,52,00:01:08,44,"93,18 %","80,36 %","0,00 US$"
/parmentier,54,52,00:06:51,45,"93,33 %","81,48 %","0,00 US$"
/flambovani,53,51,00:05:44,50,"90,00 %","90,57 %","0,00 US$"
/americka_kuchyne,52,51,00:01:05,48,"95,83 %","96,15 %","0,00 US$"
/fingerbowl,52,48,00:03:41,47,"89,36 %","90,38 %","0,00 US$"
/prezentace_jidel,52,49,00:06:13,47,"93,62 %","90,38 %","0,00 US$"
/steak,50,50,00:00:16,50,"98,00 %","98,00 %","0,00 US$"
/jidlo_doma_jinde,47,42,00:01:14,41,"87,80 %","85,11 %","0,00 US$"
/salzburger_nockerl,46,45,00:01:14,34,"100,00 %","84,78 %","0,00 US$"
/vykostovani,46,42,00:02:51,40,"92,50 %","89,13 %","0,00 US$"
/avokado,45,43,00:11:58,43,"95,35 %","95,56 %","0,00 US$"
/gulas,44,43,00:12:29,43,"93,02 %","93,18 %","0,00 US$"
/ochutnavka_vina,44,42,00:05:16,42,"95,24 %","95,45 %","0,00 US$"
